param.held_out_cohort	param.selected_model	metric.breast_surgery_BREAST_CONSERVING_accuracy	metric.breast_surgery_BREAST_CONSERVING_f1_binary	metric.breast_surgery_MASTECTOMY_accuracy	metric.breast_surgery_MASTECTOMY_f1_binary	metric.chemotherapy_accuracy	metric.chemotherapy_f1_binary	metric.hormone_therapy_accuracy	metric.hormone_therapy_f1_binary	metric.radio_therapy_accuracy	metric.radio_therapy_f1_binary	metric.test_f1_macro	metric.test_f1_samples	metric.test_subset_accuracy
5.0	xgboost	0.6534653465346535	0.4776119402985074	0.6435643564356436	0.7313432835820896	0.9504950495049505	0.9152542372881356	0.6831683168316832	0.6363636363636364	0.4158415841584158	0.5354330708661418	0.6592012336797021	0.6028760018859027	0.2079207920792079
4.0	xgboost	0.632768361581921	0.5517241379310345	0.655367231638418	0.6702702702702703	0.9096045197740112	0.8048780487804879	0.6666666666666666	0.74235807860262	0.5875706214689266	0.7245283018867924	0.698751767494241	0.6761097659402744	0.1581920903954802
3.0	xgboost	0.5909090909090909	0.4390243902439024	0.5928853754940712	0.677115987460815	0.9565217391304348	0.8877551020408163	0.6798418972332015	0.7167832167832168	0.5909090909090909	0.7206477732793523	0.6882652939616205	0.6511481272350839	0.2134387351778656
2.0	random_forest	0.6153846153846154	0.5408163265306123	0.6282051282051282	0.6390041493775933	0.9871794871794872	0.9690721649484536	0.7222222222222222	0.7653429602888087	0.717948717948718	0.8333333333333334	0.7495137868957603	0.7102767602767605	0.3076923076923077
1.0	random_forest	0.6650246305418719	0.5177304964539007	0.6674876847290641	0.7326732673267327	0.6403940886699507	0.2234042553191489	0.6724137931034483	0.74373795761079	0.6428571428571429	0.7687400318979266	0.5972572017216998	0.6425815153647666	0.1551724137931034
